,id,name,genres,popularity,followers
1056,4CrDEHL7ysNabeYvL3xjUX,Skytech,[],63,5053
1057,0EK2nCt5jxbkN2HCmtKy4V,Fafaq,['progressive uplifting trance'],55,1638
1058,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['big room', 'brostep', 'edm', 'electro house', 'house', 'trance', 'tropical house']",85,2389468
1059,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,"['edm', 'pop', 'tropical house']",91,4536179
1060,4gJCFxvqKc43Ifk0UIBB42,Madison Mars,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'sky room', 'tracestep', 'tropical house']",67,28543
1061,7CCjtD0hCK005Bvg2WG1a7,Carnage,"['bass trap', 'brostep', 'deep big room', 'dwn trap', 'edm', 'electro house', 'electronic trap', 'pop rap', 'trap music']",74,142189
1062,0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,"['australian dance', 'bass trap', 'big room', 'catstep', 'deep big room', 'edm', 'melbourne bounce']",73,226891
1063,2wX6xSig4Rig5kZU6ePlWe,KSHMR,"['bass trap', 'big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'tropical house']",76,359656
1064,7e1BNCygl2Gf7CX8LrByPv,Ummet Ozcan,"['big room', 'deep big room', 'edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'progressive trance', 'sky room', 'trance']",65,145528
1065,2wX6xSig4Rig5kZU6ePlWe,KSHMR,"['bass trap', 'big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'tropical house']",76,359656
1066,6S3KljEiIOWoLMUyZrkQUc,Marnik,"['big room', 'deep big room', 'sky room']",65,13208
1067,5keDbKEPwrbe36cPzRpzsK,Jane XØ,"['bass trap', 'indie poptimism']",60,23642
1068,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,"['deep euro house', 'deep house', 'edm', 'pop', 'tropical house']",86,1118025
1069,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['dance pop', 'edm', 'pop', 'tropical house']",90,10639971
1070,7DMveApC7UnC2NPfPvlHSU,Cheat Codes,"['dance pop', 'edm', 'indie poptimism', 'pop', 'tropical house']",89,347684
1071,3kcQ94iDBwumLfddrCrse8,Daddy's Groove,"['big room', 'deep big room', 'electro house', 'progressive electro house']",48,17459
1072,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
1073,2QMCcKIPHnjQaPPgoEst88,Matisse & Sadko,"['big room', 'deep big room', 'electro house', 'progressive electro house', 'sky room']",69,20209
1074,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['big room', 'edm', 'progressive house', 'tropical house']",88,3977244
1075,12SPNXi0aDpFt0rMVbmLrr,Jay Hardway,"['big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room', 'tracestep', 'tropical house']",66,118543
1076,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'tropical house']",83,691903
1077,2wX6xSig4Rig5kZU6ePlWe,KSHMR,"['bass trap', 'big room', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'tropical house']",76,359656
1078,6jJ0s89eD6GaHleKKya26X,Katy Perry,"['dance pop', 'pop', 'pop christmas', 'post-teen pop']",90,7588542
1079,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",82,2050596
1080,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"['pop rap', 'rap']",89,3777601
1081,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,"['dwn trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",86,2385503
1082,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,"['indie r&b', 'pop rap', 'rap']",85,2393269
1083,0uuRltdLYtc519o60BlZUK,Indigo Blue,[],34,102
1084,6mcvqwPRMHDl6YPcOyONtv,Chill Fluide,[],7,11
1085,6lOCVUQbb9wzuZQbZQV9zn,Cool Company,"['deep indie r&b', 'vapor soul']",50,4796
1086,5QP5fl1l4e9NmKmkMUOTF5,CAPYAC,[],42,3808
1087,5QBBMyvWnKheZrJ8wAPc3b,Riplay,[],29,290
1088,7jmeOWayhjsGSvY5YNpV65,Mumbai Science,['destroy techno'],25,4340
1089,0vQwZcf1LWjBIrR2l9CTss,The Other Colors,[],37,4064
1090,2i1bsNQ67uC1t792EZkOo2,Marie Möör,['minimal wave'],37,1040
1091,3Jghk94Gog2dhBAO7ZZaM8,July Child,"['deep tropical house', 'gauze pop']",43,1894
1092,0z6j3MncRCFuW77JhhPx8b,Meresha,[],38,4786
1093,47p2js8l70JjDWGS0a1hqr,Tatum Rush,[],33,361
1094,3KEhhixoMshqSEJ71rS7w1,Marmozets,"['alt-indie rock', 'british alternative rock', 'pixie']",54,42144
1095,550Zxz0BTZi3yd8gX9QINw,iLL BLU,"['bass music', 'deep groove house', 'future garage', 'uk funky']",48,1874
1096,5L2zOOf5hWItwPyfq8J20R,Sergio Fernandez,[],31,1125
1097,6aJAd8zM1s3Slw64KfsmaF,S.P.Y,"['drum and bass', 'jump up', 'jungle', 'liquid funk', 'neurofunk']",50,19338
1098,7wXzAJOG2A0jtJXh5VucxT,SCB,['minimal dub'],30,341
1099,48hZklIMPklae2Mssfp8Cx,Scuba,"['bass music', 'dubstep', 'future garage', 'microhouse']",39,24736
