name,url
Evangeline Lilly,https://www.usmagazine.com/celebrities/evangeline-lilly/
Fabrizio Moretti,https://www.usmagazine.com/celebrities/fabrizio-moretti/
Faith Hill,https://www.usmagazine.com/celebrities/faith-hill/
Fantasia Barrino,https://www.usmagazine.com/celebrities/fantasia-barrino/
Farrah Abraham,https://www.usmagazine.com/celebrities/farrah-abraham/
Felicity Huffman,https://www.usmagazine.com/celebrities/felicity-huffman/
Forest Whitaker,https://www.usmagazine.com/celebrities/forest-whitaker/
Frank Ocean,https://www.usmagazine.com/celebrities/frank-ocean/
Frankie Delgado,https://www.usmagazine.com/celebrities/frankie-delgado/
Frankie Muniz,https://www.usmagazine.com/celebrities/frankie-muniz/
Freida Pinto,https://www.usmagazine.com/celebrities/freida-pinto/
Gabourey Sidibe,https://www.usmagazine.com/celebrities/gabourey-sidibe/
Gabriel Aubry,https://www.usmagazine.com/celebrities/gabriel-aubry/
Gabrielle Union,https://www.usmagazine.com/celebrities/gabrielle-union/
Gail Simmons,https://www.usmagazine.com/celebrities/gail-simmons/
Gary Oldman,https://www.usmagazine.com/celebrities/gary-oldman/
Gary Shirley,https://www.usmagazine.com/celebrities/gary-shirley/
Gavin Degraw,https://www.usmagazine.com/celebrities/gavin-degraw/
Gavin Rossdale,https://www.usmagazine.com/celebrities/gavin-rossdale/
George Stephanopoulos,https://www.usmagazine.com/celebrities/george-stephanopoulos/
Gerard Butler,https://www.usmagazine.com/celebrities/gerard-butler/
Gilles Marini,https://www.usmagazine.com/celebrities/gilles-marini/
Giuliana Rancic,https://www.usmagazine.com/celebrities/giuliana-rancic/
Goldie Hawn,https://www.usmagazine.com/celebrities/goldie-hawn/
Gwen Stefani,https://www.usmagazine.com/celebrities/gwen-stefani/
Gwyneth Paltrow,https://www.usmagazine.com/celebrities/gwyneth-paltrow/
Hailee Steinfeld,https://www.usmagazine.com/celebrities/hailee-steinfeld/
Hailey Glassman,https://www.usmagazine.com/celebrities/hailey-glassman/
Halle Berry,https://www.usmagazine.com/celebrities/halle-berry/
Hank Baskett,https://www.usmagazine.com/celebrities/hank-baskett/
Harrison Ford,https://www.usmagazine.com/celebrities/harrison-ford/
Harry Styles,https://www.usmagazine.com/celebrities/harry-styles/
Hayden Christensen,https://www.usmagazine.com/celebrities/hayden-christensen/
Hayden Panettiere,https://www.usmagazine.com/celebrities/hayden-panettiere/
Haylie Duff,https://www.usmagazine.com/celebrities/haylie-duff/
Heath Ledger,https://www.usmagazine.com/celebrities/heath-ledger/
Heather Graham,https://www.usmagazine.com/celebrities/heather-graham/
Heather Locklear,https://www.usmagazine.com/celebrities/heather-locklear/
Heather McDonald,https://www.usmagazine.com/celebrities/heather-mcdonald/
Heather Morris,https://www.usmagazine.com/celebrities/heather-morris/
Heidi Montag,https://www.usmagazine.com/celebrities/heidi-montag/
Henry Cavill,https://www.usmagazine.com/celebrities/henry-cavill/
Hilary Duff,https://www.usmagazine.com/celebrities/hilary-duff/
Hilary Swank,https://www.usmagazine.com/celebrities/hilary-swank/
Holly Madison,https://www.usmagazine.com/celebrities/holly-madison/
Holly Montag,https://www.usmagazine.com/celebrities/holly-montag/
Hugh Dancy,https://www.usmagazine.com/celebrities/hugh-dancy/
Hugh Grant,https://www.usmagazine.com/celebrities/hugh-grant/
Hugh Jackman,https://www.usmagazine.com/celebrities/hugh-jackman/
Hugh Laurie,https://www.usmagazine.com/celebrities/hugh-laurie/
Hunter Parrish,https://www.usmagazine.com/celebrities/hunter-parrish/
Ian Somerhalder,https://www.usmagazine.com/celebrities/ian-somerhalder/
Idina Menzel,https://www.usmagazine.com/celebrities/idina-menzel/
Iggy Azalea,https://www.usmagazine.com/celebrities/iggy-azalea/
Isabella Rossellini,https://www.usmagazine.com/celebrities/isabella-rossellini/
Isla Fisher,https://www.usmagazine.com/celebrities/isla-fisher/
Ivanka Trump,https://www.usmagazine.com/celebrities/ivanka-trump/
Jack Nicholson,https://www.usmagazine.com/celebrities/jack-nicholson/
Jackson Rathbone,https://www.usmagazine.com/celebrities/jackson-rathbone/
Jacqueline Laurita,https://www.usmagazine.com/celebrities/jacqueline-laurita/
Jada Pinkett Smith,https://www.usmagazine.com/celebrities/jada-pinkett-smith/
Jaden Smith,https://www.usmagazine.com/celebrities/jaden-smith/
Jaime King,https://www.usmagazine.com/celebrities/jaime-king/
Jaime Pressly,https://www.usmagazine.com/celebrities/jaime-pressly/
Jake Gyllenhaal,https://www.usmagazine.com/celebrities/jake-gyllenhaal/
Jake Pavelka,https://www.usmagazine.com/celebrities/jake-pavelka/
James Blunt,https://www.usmagazine.com/celebrities/james-blunt/
James Denton,https://www.usmagazine.com/celebrities/james-denton/
James Franco,https://www.usmagazine.com/celebrities/james-franco/
James Woods,https://www.usmagazine.com/celebrities/james-woods/
Jamie Campbell Bower,https://www.usmagazine.com/celebrities/jamie-campbell-bower/
Jamie Foxx,https://www.usmagazine.com/celebrities/jamie-foxx/
Jamie Kennedy,https://www.usmagazine.com/celebrities/jamie-kennedy/
Jamie Lynn Spears,https://www.usmagazine.com/celebrities/jamie-lynn-spears/
Jamie-Lynn Sigler,https://www.usmagazine.com/celebrities/jamie-lynn-sigler/
Jane Krakowski,https://www.usmagazine.com/celebrities/jane-krakowski/
Jane Lynch,https://www.usmagazine.com/celebrities/jane-lynch/
Janelle Monae,https://www.usmagazine.com/celebrities/janelle-monae/
Janet Jackson,https://www.usmagazine.com/celebrities/janet-jackson/
Janice Dickinson,https://www.usmagazine.com/celebrities/janice-dickinson/
January Jones,https://www.usmagazine.com/celebrities/january-jones/
Jared Leto,https://www.usmagazine.com/celebrities/jared-leto/
Jason Aldean,https://www.usmagazine.com/celebrities/jason-aldean/
Jason Bateman,https://www.usmagazine.com/celebrities/jason-bateman/
Jason Derulo,https://www.usmagazine.com/celebrities/jason-derulo/
Jason Lee,https://www.usmagazine.com/celebrities/jason-lee/
